id;first_name;last_name;email;phone_no
1;Kathleen;Schroeder;Madie.Ruecker@yahoo.com;Plastic Mall
2;Danielle;Schneider;Gino.Quigley@hotmail.com;white Versatile hacking
3;Kathleen;McClure;Kian.Fahey1@yahoo.com;Licensed Automotive
4;Griffin;Lockman;Katarina_Gulgowski@gmail.com;Pants
5;Cecelia;Denesik;Halie21@gmail.com;optimal
6;Sierra;Bernhard;Janis_Bernier@hotmail.com;Cambridgeshire Heights
7;Giles;Gulgowski;Cora_Ankunding29@hotmail.com;Carolina Isle
8;Lacy;Tillman;Leone_Towne@yahoo.com;attitude Dollar lime
9;Flo;Kiehn;Alize.Rosenbaum46@yahoo.com;Bedfordshire Point mindshare
10;Webster;Lowe;Terrill_Swaniawski@hotmail.com;Brook Soft optimize
